11,CPLEX Default,lunghezza crescente,score reduced costs somma crescente,score reduced costs medio crescente,lunghezza crescente duplicati in cima,score reduced costs somma crescente duplicati in cima,score reduced costs medio crescente duplicati in cima,score reduced costs somma decrescente,score reduced costs medio decrescente,score reduced costs somma decrescente duplicati in cima,score reduced costs medio decrescente duplicati in cima
../Dataset/ReducedLP/scpnrf2_reduced.lp,20818,16736,22060,20967,16593,22060,20967,25200,17354,25058,17354
../Dataset/ReducedLP/scpnrf2_reduced.lp,19208,17392,17954,18413,15815,17954,18413,18191,14964,18191,14964
../Dataset/ReducedLP/scpnrf2_reduced.lp,20923,18360,20993,21797,18672,20993,21797,21687,18609,21688,18609
../Dataset/ReducedLP/scpnrf3_reduced.lp,10367,7612,19642,11978,7612,19642,11978,24262,13496,24262,13496
../Dataset/ReducedLP/scpnrf3_reduced.lp,4090,3138,3461,3718,3138,3461,3718,4082,3321,4082,3321
../Dataset/ReducedLP/scpnrf3_reduced.lp,10671,12640,10105,18894,12640,10105,18894,12771,18118,12771,18118
../Dataset/ReducedLP/scpnrf3_reduced.lp,7180,13403,11801,17347,13403,11801,17347,12177,8766,12177,8766
../Dataset/ReducedLP/scpnrf3_reduced.lp,12451,5899,15573,23755,5899,15573,23755,20886,3872,20886,3872
../Dataset/ReducedLP/scpnrf3_reduced.lp,4664,3643,3600,3384,3643,3600,3384,3645,3277,3645,3277
../Dataset/ReducedLP/scpnrf3_reduced.lp,20403,10974,15028,11814,10974,15028,11814,21444,24748,21444,24748
../Dataset/ReducedLP/scpnrf3_reduced.lp,4188,3115,3092,3706,3115,3092,3706,3802,3310,3802,3310
../Dataset/ReducedLP/scpnrf3_reduced.lp,5190,4667,9547,10741,4667,9547,10741,11999,14960,11999,14960
../Dataset/ReducedLP/scpnrf3_reduced.lp,4270,3227,3513,3052,3227,3513,3052,3887,3008,3887,3008
../Dataset/ReducedLP/scpnrf4_reduced.lp,64893,88136,69378,77759,88136,69378,77759,88506,80628,88506,80628
